CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,Sector RSI 1m,Sector RSI 3m,Sector RSI 6m,Market RSI 1m,Market RSI 3m,Market RSI 6m
DSY.JO,DISCOVERY,Life Insurance,362.0,0.0125,50248.07,138.7,STXFIN,STXCAP,0,,,,,,,,1.03,1.02,0.9,1.04,1.12,1.1
MTM.JO,MTM MOMENTUM METROPOLITAN HOLDINGS LTD,Life Insurance,779.0,0.0045,18106.79,23.25,STXFIN,STXCAP,0,,,,,,,,1.05,1.01,1.04,1.05,1.11,1.24
OMU.JO,OLD MUTUAL LTD,Life Insurance,2941.0,0.0092,36884.29,12.54,STXFIN,STXCAP,0,,,,,,,,0.97,0.97,0.86,0.97,1.06,1.06
SLM.JO,SANLAM,Life Insurance,1174.0,0.0239,96405.72,82.14,STXFIN,STXCAP,0,,,,,,,,0.99,1.03,1.0,0.99,1.13,1.2
AME.JO,Africa media Entertainment,Media,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.89,1.08,1.32,0.89,1.18,1.52
CAT.JO,Caxton,Media,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.98,0.85,0.87,0.98,0.93,1.07
EMH.JO,E-Media,Media,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.95,0.78,0.91,0.95,0.85,1.11
OUT.JO,OUTSURANCE,Nonlife Insurance,574.0,0.0067,27121.55,47.25,STXFIN,STXCAP,0,,,,,,,,1.0,1.01,1.01,1.0,1.11,1.21
SNT.JO,SANTAM,Nonlife Insurance,27.0,0.0022,8910.41,329.66,STXFIN,STXCAP,0,,,,,,,,1.01,0.94,1.01,1.01,1.03,1.21
EXX.JO,EXXARO RESOURCES LTD,Oil & Gas and Coal,163.0,0.0078,31388.39,192.6,STXRES,STXCAP,0,,,,,,,,1.08,1.13,0.91,1.08,1.03,1.14
TGA.JO,Thungela Resources Ltd,Oil & Gas and Coal,75.0,0.0021,8536.44,113.76,STXRES,STXCAP,0,,,,,,,,1.04,0.96,0.87,1.04,0.87,1.1
BID.JO,BID CORP LTD,Personal Care Drug and Grocery Stores,225.0,0.0237,95558.11,425.17,STXACW,STXCAP,0,,,,,,,,1.04,1.01,,1.02,1.0,1.09
CLS.JO,CLICKS GROUP,Personal Care Drug and Grocery Stores,161.0,0.0134,54039.71,336.6,STXFIN,STXCAP,0,,,,,,,,1.0,1.01,1.03,1.0,1.11,1.23
DCP.JO,DIS-CHEM,Personal Care Drug and Grocery Stores,291.0,0.0025,9882.11,33.95,STXFIN,STXCAP,0,,,,,,,,1.06,0.95,1.07,1.06,1.04,1.28
PIK.JO,PIK N PAY,Personal Care Drug and Grocery Stores,249.0,0.0017,6684.26,26.8,STXFIN,STXCAP,0,,,,,,,,0.92,1.01,0.9,0.92,1.11,1.1
SHP.JO,SHOPRITE,Personal Care Drug and Grocery Stores,324.0,0.0232,93479.44,288.5,STXFIN,STXCAP,0,,,,,,,,1.03,1.02,0.98,1.03,1.12,1.18
SPP.JO,SPAR,Personal Care Drug and Grocery Stores,131.0,0.0038,15476.19,118.5,STXFIN,STXCAP,0,,,,,,,,1.01,1.14,0.98,1.01,1.25,1.18
CFR.JO,COMPAGNIE FINANCIERE,Personal Goods,40.0,0.0277,111535.13,2782.65,STXACW,STXCAP,0,,,,,,,,0.95,1.01,,0.93,1.0,1.09
AIP.JO,ADCOCK INGRAM,Pharmaceuticals & Biotechnology,46.0,0.0007,2707.49,59.5,STXFIN,STXCAP,0,,,,,,,,0.97,0.94,0.96,0.97,1.03,1.16
APN.JO,ASPEN,Pharmaceuticals & Biotechnology,261.0,0.0153,61449.02,235.44,STXFIN,STXCAP,0,,,,,,,,0.99,0.93,1.11,0.99,1.02,1.32
ANG.JO,ANGLO GOLD ASHANTI,Precious Metals and Mining,207.0,0.0262,105762.12,511.7,STXRES,STXCAP,0,,,,,,,,1.11,1.19,1.36,1.11,1.08,1.61
AMS.JO,ANGLOPLAT,Precious Metals and Mining,39.0,0.0062,24893.42,644.5,STXRES,STXCAP,0,,,,,,,,1.15,1.08,0.76,1.15,0.98,0.97
DRD.JO,DRDGOLD LTD,Precious Metals and Mining,282.0,0.0012,4834.76,17.13,STXRES,STXCAP,0,,,,,,,,1.15,1.23,1.1,1.14,1.12,1.33
GFI.JO,GOLDFIELDS LTD,Precious Metals and Mining,595.0,0.0421,169740.04,285.45,STXRES,STXCAP,0,,,,,,,,1.09,0.98,0.99,1.09,0.89,1.22
HAR.JO,HARMONY GOLD MINING,Precious Metals and Mining,376.0,0.0165,66466.68,176.6,STXRES,STXCAP,0,,,,,,,,0.97,1.05,1.29,0.97,0.95,1.53
IMP.JO,IMPLATS,Precious Metals and Mining,548.0,0.0129,51903.59,94.66,STXRES,STXCAP,0,,,,,,,,1.01,1.09,1.11,1.0,0.99,1.35
NPH.JO,Northam Platinum Holdings,Precious Metals and Mining,241.0,0.0076,30636.23,127.22,STXRES,STXCAP,0,,,,,,,,1.05,1.11,0.94,1.05,1.01,1.17
PAN.JO,PAN AFRICAN RESOURCE,Precious Metals and Mining,1068.0,0.0017,6726.23,6.3,STXRES,STXCAP,0,,,,,,,,1.08,1.2,1.36,1.08,1.09,1.6
SSW.JO,Sibanye Stillwater Ltd,Precious Metals and Mining,1902.0,0.0101,40659.72,21.38,STXRES,STXCAP,0,,,,,,,,1.03,0.94,0.8,1.03,0.86,1.02
FFB.JO,FORTRESS REIT LTD B,Real Estate Investment & Serv,804.0,0.0033,13204.0,16.42,STXPRO,STXCAP,0,,,,,,,,1.03,1.09,1.06,1.01,1.13,1.2
LTE.JO,LIGHTHOUSE CAPITAL LTD,Real Estate Investment & Serv,690.0,0.0014,5519.54,8.0,STXPRO,STXCAP,0,,,,,,,,1.0,0.91,1.03,0.98,0.94,1.17
MSP.JO,MAS REAL ESTATE INC,Real Estate Investment & Serv,301.0,0.0013,5388.85,17.91,STXPRO,STXCAP,0,,,,,,,,1.09,1.01,0.92,1.07,1.04,1.06
NRP.JO,NEPI ROCKCASTLE PLC,Real Estate Investment & Serv,373.0,0.0121,48760.45,130.89,STXPRO,STXCAP,0,,,,,,,,1.02,0.96,1.01,1.0,1.0,1.15
ATT.JO,ATTACQ,Real Estate Investment Trusts,465.0,0.0012,5037.97,10.84,STXPRO,STXCAP,0,,,,,,,,0.99,0.99,1.05,0.97,1.03,1.19
BTN.JO,Burstone Group Limited,Real Estate Investment Trusts,387.0,0.0007,2774.31,7.16,STXPRO,STXCAP,0,,,,,,,,1.08,1.05,0.87,1.06,1.09,1.02
DLT.JO,Delta Property,Real Estate Investment Trusts,,0.0,,,STXPRO,STXCAP,0,,,,,,,,1.27,1.8,1.99,1.25,1.87,2.09
EMI.JO,EMIRA,Real Estate Investment Trusts,153.0,0.0004,1708.05,11.18,STXPRO,STXCAP,0,,,,,,,,1.02,1.04,1.19,1.0,1.08,1.32
EQU.JO,EQUITES PROPERTY FUND LTD,Real Estate Investment Trusts,528.0,0.0018,7184.94,13.62,STXPRO,STXCAP,0,,,,,,,,1.03,1.01,0.88,1.01,1.05,1.02
FTB.JO,FAIRVEST LIMITED B,Real Estate Investment Trusts,932.0,0.0009,3681.48,3.95,STXPRO,STXCAP,0,,,,,,,,1.01,1.04,1.03,0.99,1.08,1.17
GRT.JO,GROWTHPOINT,Real Estate Investment Trusts,2260.0,0.0069,27635.61,12.23,STXPRO,STXCAP,0,,,,,,,,1.01,1.04,0.99,0.99,1.08,1.13
HMN.JO,HAMMERSON PLC,Real Estate Investment Trusts,448.0,0.0008,3025.87,6.76,STXPRO,STXCAP,0,,,,,,,,1.28,1.03,1.07,1.26,1.07,1.2
HYP.JO,HYPROP,Real Estate Investment Trusts,248.0,0.002,8117.3,32.71,STXPRO,STXCAP,0,,,,,,,,1.01,1.01,0.95,0.99,1.05,1.09
PPR.JO,Putprop,Real Estate Investment Trusts,,0.0,,,STXPRO,STXCAP,0,,,,,,,,1.03,0.97,0.96,1.01,1.0,1.11
RDF.JO,REDEFINE,Real Estate Investment Trusts,4600.0,0.0048,19503.97,4.24,STXPRO,STXCAP,0,,,,,,,,1.03,0.98,0.97,1.01,1.01,1.11
RES.JO,RESILIENT REIT LIMITED,Real Estate Investment Trusts,203.0,0.0026,10284.24,50.54,STXPRO,STXCAP,0,,,,,,,,1.05,1.05,1.01,1.03,1.09,1.15
SAC.JO,SA CORP REAL ESTATE,Real Estate Investment Trusts,1638.0,0.0011,4405.85,2.69,STXPRO,STXCAP,0,,,,,,,,1.02,0.96,1.0,1.0,1.0,1.14
SHC.JO,Shaftesbury Capital,Real Estate Investment Trusts,85.0,0.0007,2840.55,33.3,STXPRO,STXCAP,0,,,,,,,,1.08,1.01,1.06,1.06,1.05,1.2
SRE.JO,SIRIUS REAL ESTATE LTD,Real Estate Investment Trusts,269.0,0.0015,5931.54,22.05,STXPRO,STXCAP,0,,,,,,,,1.02,0.91,0.98,1.0,0.94,1.13
